-0.08,-0.12,-9.85,-0.84,-4.74,-2.39,-41.27,-41.45,26.02,967.30,37,40
0.08,-0.20,-9.89,-0.93,0.35,0.03,-41.27,-41.45,26.02,967.14,78,81
0.08,-0.20,-9.65,-0.01,0.05,-0.03,-41.45,-41.73,26.22,967.22,119,122
0.12,-0.24,-9.92,-0.02,0.05,-0.01,-41.45,-41.73,26.22,967.29,160,164
0.08,-0.20,-9.77,-0.02,0.05,-0.01,-41.45,-41.36,26.02,967.15,202,205
0.12,-0.16,-9.73,-0.02,0.05,-0.01,-41.64,-41.27,26.22,967.15,243,246
0.08,-0.27,-9.81,-0.02,0.05,-0.01,-41.64,-41.27,26.22,967.22,284,287
0.08,-0.16,-9.81,-0.02,0.05,-0.01,-41.45,-41.09,26.12,967.27,325,328
0.00,-0.12,-9.69,-0.02,0.05,-0.01,-41.55,-41.18,26.02,967.20,366,369
0.12,-0.24,-9.89,-0.02,0.05,-0.01,-41.55,-41.18,26.02,967.22,407,410
0.08,-0.16,-9.96,-0.02,0.05,-0.01,-41.55,-41.64,26.02,967.24,448,451
0.00,-0.16,-9.89,-0.02,0.05,-0.01,-41.55,-41.64,26.02,967.19,489,492
0.08,-0.16,-9.92,-0.02,0.05,-0.01,-41.27,-41.36,25.92,967.25,529,533
0.08,-0.20,-9.85,-0.02,0.05,-0.01,-41.45,-41.45,26.02,967.23,570,574
0.12,-0.20,-9.77,-0.02,0.05,-0.01,-41.45,-41.45,26.02,967.33,612,616
0.04,-0.12,-9.85,-0.02,0.05,-0.01,-41.27,-41.00,26.12,967.16,653,656
0.04,-0.20,-9.89,-0.02,0.05,-0.01,-41.27,-41.00,26.12,967.21,694,697
0.04,-0.12,-9.81,-0.02,0.05,-0.01,-41.18,-41.45,25.92,967.28,735,738
0.16,-0.08,-9.73,-0.02,0.05,-0.01,-41.27,-41.55,26.02,967.33,776,779
0.12,-0.16,-9.89,-0.02,0.05,-0.01,-41.27,-41.55,26.02,967.29,817,820
0.04,-0.16,-9.81,-0.02,0.05,-0.01,-41.18,-41.18,26.12,967.28,858,861
-0.04,-0.20,-9.85,-0.02,0.05,-0.01,-41.18,-41.18,26.12,967.24,899,902
0.08,-0.20,-9.77,-0.02,0.05,-0.01,-41.18,-41.18,26.12,967.26,940,943
0.04,-0.16,-9.81,-0.02,0.05,-0.01,-41.64,-41.27,25.82,967.21,981,985
0.08,-0.20,-9.89,-0.02,0.05,-0.01,-41.64,-41.27,25.82,967.17,1023,1026
0.00,-0.16,-9.89,-0.02,0.05,-0.01,-41.45,-41.36,26.22,967.22,1064,1067
0.04,-0.20,-10.08,-0.02,0.05,-0.01,-41.64,-41.18,26.22,967.24,1105,1108
0.08,-0.24,-9.81,-0.02,0.05,-0.01,-41.64,-41.18,26.22,967.17,1146,1149
0.08,-0.20,-9.81,-0.02,0.05,-0.01,-41.36,-41.45,26.33,967.21,1187,1190
0.08,-0.16,-9.65,-0.02,0.05,-0.01,-41.36,-41.45,26.33,967.21,1229,1232
0.16,-0.24,-9.73,-0.02,0.05,-0.01,-41.45,-41.55,26.02,967.27,1270,1273
0.04,-0.16,-9.89,-0.02,0.05,-0.01,-41.45,-41.55,25.82,967.27,1311,1314
0.04,-0.20,-9.85,-0.02,0.05,-0.01,-41.45,-41.55,25.82,967.21,1352,1355
0.12,-0.12,-9.77,-0.02,0.05,-0.01,-41.27,-41.45,25.92,967.18,1393,1396
0.12,-0.12,-9.85,-0.02,0.05,-0.01,-41.27,-41.45,25.92,967.20,1435,1438
0.08,-0.20,-9.92,-0.02,0.05,-0.01,-41.45,-41.45,25.71,967.19,1476,1479
0.16,-0.16,-9.73,-0.02,0.05,-0.01,-41.73,-41.27,26.12,967.31,1517,1520
0.12,-0.16,-9.89,-0.02,0.05,-0.01,-41.73,-41.27,26.12,967.19,1558,1561
0.12,-0.16,-9.89,-0.02,0.05,-0.01,-41.27,-41.36,26.12,967.15,1599,1602
0.08,-0.16,-9.61,-0.02,0.05,-0.01,-41.45,-41.45,25.92,967.20,1641,1644
0.16,-0.27,-9.81,-0.02,0.05,-0.01,-41.45,-41.45,25.92,967.21,1681,1685
0.12,-0.20,-9.77,-0.02,0.05,-0.01,-41.09,-41.36,26.12,967.21,1722,1726
0.08,-0.12,-9.89,-0.02,0.05,-0.01,-41.09,-41.36,26.12,967.23,1763,1766
0.08,-0.16,-9.73,-0.02,0.05,-0.01,-41.36,-41.45,26.12,967.19,1804,1807
0.08,-0.24,-9.81,-0.02,0.05,-0.01,-41.18,-41.55,25.92,967.31,1846,1849
0.08,-0.16,-9.77,-0.02,0.05,-0.01,-41.18,-41.55,25.92,967.14,1887,1890
0.08,-0.16,-9.85,-0.02,0.05,-0.01,-41.45,-41.36,26.02,967.27,1928,1931
0.00,-0.20,-9.57,-0.02,0.05,-0.01,-41.45,-41.36,26.02,967.17,1969,1972
0.08,-0.16,-9.81,-0.02,0.05,-0.01,-41.36,-41.36,25.82,967.16,2010,2013
0.16,-0.20,-9.85,-0.02,0.05,-0.01,-41.36,-41.18,25.92,967.33,2052,2055
0.12,-0.16,-9.85,-0.02,0.05,-0.01,-41.36,-41.18,25.92,967.20,2093,2096
0.08,-0.20,-9.81,-0.02,0.05,-0.01,-41.36,-41.36,26.22,967.23,2134,2137
0.04,-0.12,-9.57,-0.02,0.05,-0.01,-41.27,-41.18,26.02,967.20,2175,2178
0.12,-0.20,-9.77,-0.02,0.05,-0.01,-41.27,-41.18,26.02,967.19,2216,2219
0.16,-0.24,-9.81,-0.02,0.05,-0.01,-41.27,-41.45,25.82,967.26,2258,2261
0.08,-0.20,-9.89,-0.02,0.05,-0.01,-41.27,-41.45,25.82,967.33,2299,2302
0.12,-0.12,-9.81,-0.02,0.05,-0.01,-41.27,-41.18,25.82,967.28,2340,2343
0.16,-0.20,-9.81,-0.02,0.05,-0.01,-41.45,-41.55,26.22,967.27,2381,2384
0.08,-0.12,-9.73,-0.02,0.05,-0.01,-41.45,-41.55,26.22,967.21,2422,2425
0.12,-0.12,-9.85,-0.02,0.05,-0.01,-41.27,-41.45,26.12,967.30,2464,2467
0.08,-0.16,-9.89,-0.02,0.05,-0.01,-41.27,-41.45,26.12,967.33,2505,2508
0.00,-0.20,-9.77,-0.02,0.05,-0.01,-41.55,-41.36,25.92,967.45,2546,2549
0.04,-0.12,-9.77,-0.02,0.05,-0.01,-41.45,-41.45,25.92,967.22,2587,2590
0.04,-0.20,-9.81,-0.02,0.05,-0.01,-41.45,-41.45,25.92,967.28,2628,2631
0.12,-0.24,-9.77,-0.02,0.05,-0.01,-41.45,-41.36,25.82,967.29,2669,2672
0.12,-0.20,-9.92,-0.02,0.05,-0.01,-41.27,-41.18,26.12,967.22,2711,2714
0.04,-0.20,-9.77,-0.02,0.05,-0.01,-41.27,-41.18,26.12,967.42,2752,2755
0.08,-0.16,-9.73,-0.02,0.05,-0.01,-41.45,-41.36,25.92,967.30,2793,2796
0.12,-0.12,-9.89,-0.02,0.05,-0.01,-41.45,-41.36,25.92,967.34,2833,2837
0.12,-0.20,-9.92,-0.02,0.05,-0.01,-41.27,-41.55,26.02,967.29,2874,2878
0.08,-0.20,-10.04,-0.02,0.05,-0.01,-41.27,-41.64,25.92,967.23,2916,2920
0.04,-0.27,-9.85,-0.02,0.05,-0.01,-41.27,-41.64,25.92,967.26,2957,2960
0.08,-0.24,-9.57,-0.02,0.05,-0.01,-41.27,-41.27,25.92,967.30,2998,3001
0.08,-0.16,-9.73,-0.02,0.05,-0.01,-41.27,-41.27,25.92,967.27,3039,3042
0.08,-0.20,-9.81,-0.02,0.05,-0.01,-41.27,-41.55,25.92,967.36,3080,3084
0.08,-0.16,-9.69,-0.02,0.05,-0.01,-41.55,-41.45,26.22,967.21,3122,3125
0.08,-0.16,-9.85,-0.02,0.05,-0.01,-41.55,-41.45,26.22,967.22,3163,3166
0.08,-0.24,-9.85,-0.02,0.05,-0.01,-41.18,-41.45,26.22,967.23,3204,3207
0.04,-0.16,-9.85,-0.02,0.05,-0.01,-41.27,-41.27,26.02,967.28,3245,3248
0.12,-0.16,-9.85,-0.02,0.05,-0.01,-41.27,-41.27,26.02,967.27,3286,3289
0.12,-0.16,-9.77,-0.02,0.05,-0.01,-41.36,-41.45,25.82,967.34,3328,3331
0.12,-0.20,-9.77,-0.02,0.05,-0.01,-41.36,-41.45,25.82,967.23,3369,3372
0.00,-0.20,-9.92,-0.02,0.05,-0.01,-41.36,-41.45,26.02,967.25,3410,3413
0.16,-0.12,-9.89,-0.02,0.05,-0.01,-41.18,-41.27,26.22,967.27,3451,3454
0.04,-0.12,-9.85,-0.02,0.05,-0.01,-41.18,-41.27,26.22,967.29,3492,3495
0.08,-0.16,-9.85,-0.02,0.05,-0.01,-41.18,-41.36,26.22,967.35,3534,3537
0.04,-0.20,-9.77,-0.02,0.05,-0.01,-41.18,-41.36,26.22,967.28,3575,3578
0.12,-0.20,-9.85,-0.02,0.05,-0.01,-41.55,-41.64,25.92,967.29,3616,3619
0.20,-0.24,-9.73,-0.02,0.05,-0.01,-41.45,-41.18,26.02,967.27,3657,3660
0.08,-0.16,-9.85,-0.02,0.05,-0.01,-41.45,-41.18,26.02,967.32,3698,3701
0.08,-0.27,-9.69,-0.02,0.05,-0.01,-41.27,-41.45,26.12,967.28,3740,3743
0.08,-0.16,-9.69,-0.02,0.05,-0.01,-41.18,-41.27,25.82,967.29,3781,3784
0.04,-0.20,-9.77,-0.02,0.05,-0.01,-41.18,-41.27,25.82,967.40,3822,3825
0.12,-0.20,-9.61,-0.02,0.05,-0.01,-41.36,-41.27,25.92,967.24,3863,3866
