-0.86,-0.08,-10.16,-0.05,0.07,-0.09,30.64,0.00,51.12,936.65,2295,2298
-0.27,0.47,-10.04,0.04,0.15,-0.05,30.64,0.00,51.12,936.73,2336,2339
0.00,-0.16,-9.61,0.07,-0.03,-0.09,30.55,0.09,51.02,936.74,2378,2381
-0.08,-0.39,-9.73,-0.01,-0.07,-0.06,30.64,0.36,51.02,936.59,2419,2422
0.04,-0.27,-9.22,-0.05,0.08,-0.03,30.64,0.36,51.02,936.70,2460,2463
-0.08,-0.12,-9.73,-0.09,0.01,-0.02,30.73,0.36,51.02,936.55,2501,2504
-0.04,-0.24,-9.81,-0.03,0.02,-0.02,30.73,0.36,51.02,936.69,2542,2545
-0.08,-0.47,-9.69,-0.06,0.10,0.02,30.82,0.45,51.22,936.75,2583,2586
0.00,-0.16,-10.00,-0.01,0.03,-0.05,30.73,0.18,50.71,936.73,2624,2627
0.04,-0.20,-9.73,-0.02,0.06,0.01,30.73,0.18,50.71,936.66,2666,2669
-0.20,-0.16,-9.81,-0.00,0.04,-0.01,30.73,0.27,51.33,936.80,2707,2710
-0.04,-0.20,-9.73,-0.05,0.07,-0.01,30.73,0.27,51.33,936.70,2747,2751
-0.35,-0.31,-10.00,-0.06,0.01,0.00,30.73,0.18,51.12,936.68,2788,2792
-0.20,-0.39,-9.69,-0.03,-0.01,-0.02,30.73,0.18,50.92,936.66,2829,2832
0.20,-0.59,-9.53,-0.03,0.02,-0.02,30.73,0.18,50.92,936.64,2870,2873
-0.16,-0.20,-10.00,-0.02,0.00,-0.03,30.82,0.09,51.22,936.66,2912,2915
-0.16,-0.39,-9.57,-0.04,0.01,-0.06,31.09,0.09,51.02,936.59,2953,2956
0.12,-0.12,-10.08,0.02,-0.09,-0.15,31.09,0.09,51.02,936.81,2994,2997
-0.31,-0.43,-9.69,-0.06,0.10,0.03,31.00,0.45,50.82,936.69,3035,3038
0.00,-0.12,-9.89,0.00,0.05,-0.04,31.00,0.45,50.82,936.76,3076,3079
-0.27,-0.27,-9.69,-0.00,0.02,-0.00,31.00,0.36,51.22,936.60,3117,3120
-0.27,-0.27,-9.45,-0.05,0.07,-0.01,30.91,0.27,51.12,936.77,3158,3161
-0.31,-0.24,-9.77,-0.02,0.04,-0.03,30.91,0.27,51.12,936.74,3200,3203
-0.08,-0.20,-9.77,-0.01,-0.02,-0.06,31.09,0.36,50.92,936.73,3241,3244
0.04,-0.20,-9.77,-0.01,0.08,0.01,31.09,0.36,50.92,936.66,3282,3285
0.12,-0.31,-9.73,0.03,0.07,0.03,31.00,0.36,50.82,936.69,3323,3326
-0.04,-0.39,-9.73,0.05,0.09,-0.00,30.73,0.64,51.02,936.73,3364,3367
-0.27,-0.35,-10.00,0.01,0.08,0.03,30.73,0.64,51.02,936.70,3405,3408
-0.47,-0.31,-9.85,0.04,0.06,0.02,30.82,0.55,50.82,936.72,3446,3449
-0.04,-0.27,-9.92,0.08,-0.00,-0.07,30.82,0.91,50.82,936.76,3488,3491
0.04,-0.24,-9.77,0.03,0.04,-0.01,30.82,0.91,50.82,936.71,3529,3532
-0.27,-0.51,-9.81,0.10,-0.00,-0.02,30.73,0.73,50.92,936.60,3570,3573
0.00,-0.47,-9.45,0.04,0.03,-0.05,30.73,0.73,50.92,936.72,3611,3614
-0.24,-0.47,-9.89,0.08,-0.04,-0.02,31.09,1.00,50.71,936.69,3652,3655
-0.27,-0.55,-9.61,0.09,-0.04,-0.02,30.91,1.45,50.41,936.63,3693,3696
-0.20,-0.47,-10.00,0.03,-0.02,-0.03,30.91,1.45,50.41,936.76,3735,3738
-0.27,-0.63,-9.96,0.23,-0.04,-0.03,31.09,1.55,50.61,936.73,3776,3779
-0.24,-0.59,-9.85,0.31,0.02,-0.08,31.09,1.55,50.61,936.72,3817,3820
-0.31,-0.90,-9.96,0.38,-0.03,-0.10,31.18,2.45,50.00,936.71,3857,3861
-0.27,-0.98,-10.24,0.33,-0.02,-0.09,31.27,3.45,49.69,936.74,3898,3902
-0.20,-1.10,-9.41,0.23,0.13,-0.04,31.27,3.45,49.69,936.70,3939,3942
-0.39,-1.37,-9.61,0.26,0.13,-0.00,31.00,3.82,49.69,936.78,3981,3984
-0.04,-1.45,-9.69,0.31,0.04,-0.02,31.00,3.82,49.69,936.64,4022,4025
-0.04,-1.57,-9.61,0.24,0.04,-0.06,31.00,3.82,49.69,936.75,4063,4066
-0.20,-1.65,-9.41,0.16,-0.07,-0.03,31.09,4.91,49.29,936.59,4104,4107
-0.47,-1.77,-9.73,0.11,-0.13,0.00,31.09,4.91,49.29,936.71,4145,4148
-0.16,-1.77,-9.38,0.18,0.07,0.01,31.18,5.18,48.78,936.65,4186,4189
-0.31,-1.88,-9.77,0.19,0.05,0.01,31.09,5.45,48.47,936.69,4228,4231
-0.12,-1.96,-9.49,0.23,0.10,-0.03,31.09,5.45,48.47,936.65,4269,4272
-0.39,-2.08,-9.41,0.22,0.02,-0.04,31.09,6.27,48.37,936.66,4310,4313
-0.20,-2.16,-9.30,0.19,0.03,-0.01,31.09,6.27,48.37,936.76,4351,4354
-0.27,-2.20,-9.53,0.21,0.02,-0.02,30.91,6.91,48.06,936.64,4392,4395
-1.06,-2.43,-9.26,0.32,-0.02,0.10,31.18,7.09,47.45,936.67,4433,4436
-0.27,-2.67,-9.53,0.12,0.02,0.15,31.18,7.09,47.45,936.71,4475,4478
-0.08,-2.55,-9.34,0.18,0.09,-0.05,31.45,7.55,47.45,936.71,4516,4519
-0.35,-2.63,-9.10,0.39,-0.08,-0.19,31.45,7.55,47.45,936.73,4557,4560
-0.35,-2.79,-9.22,0.51,-0.03,-0.13,31.18,8.45,46.84,936.75,4598,4601
-0.35,-2.94,-9.18,0.46,0.11,-0.12,31.18,9.55,46.22,936.68,4639,4642
-0.35,-3.22,-9.38,0.28,0.10,-0.02,31.18,9.55,46.22,936.66,4681,4684
-0.24,-3.30,-9.06,0.20,0.05,0.01,31.18,10.55,45.41,936.71,4722,4725
-0.35,-3.49,-9.22,0.26,-0.07,0.02,31.55,10.82,45.31,936.66,4763,4766
-0.31,-3.49,-9.30,0.36,-0.06,-0.04,31.55,10.82,45.31,936.74,4804,4807
-0.27,-3.77,-9.02,0.54,0.06,-0.04,31.27,11.55,44.59,936.74,4845,4848
-0.35,-3.96,-8.94,0.72,0.03,-0.10,31.27,11.55,44.59,936.68,4887,4890
-0.31,-4.28,-8.75,0.57,0.04,-0.06,31.18,13.00,43.37,936.66,4928,4931
-0.47,-4.55,-8.55,0.51,0.00,-0.04,31.18,13.64,42.65,936.67,4969,4972
-0.43,-4.71,-8.39,0.38,0.02,-0.03,31.18,13.64,42.65,936.70,5009,5013
-0.27,-4.63,-8.51,0.24,0.01,-0.04,31.00,14.45,41.53,936.68,5051,5055
-0.35,-4.79,-8.55,0.25,0.04,-0.03,31.00,14.45,41.53,936.72,5092,5096
-0.39,-4.86,-8.51,0.35,0.02,0.02,31.18,14.82,41.12,936.78,5133,5136
-0.31,-5.22,-8.12,0.36,0.11,-0.02,31.18,15.36,40.41,936.75,5174,5177
-0.24,-5.22,-8.20,0.36,0.00,0.01,31.18,15.36,40.41,936.79,5215,5218
-0.31,-5.37,-8.12,0.35,0.09,-0.03,31.45,15.82,39.90,936.70,5257,5260
-0.43,-5.41,-7.85,0.38,-0.01,0.01,31.09,16.27,39.29,936.72,5298,5301
-0.35,-5.41,-8.00,0.31,0.00,0.00,31.09,16.27,39.29,936.76,5339,5342
-0.51,-5.69,-7.96,0.29,0.07,-0.02,31.18,16.55,38.37,936.74,5380,5383
-0.39,-5.92,-8.04,0.29,0.03,-0.01,31.18,16.55,38.37,936.65,5422,5425
-0.39,-5.92,-7.92,0.32,0.02,-0.01,31.18,17.09,37.86,936.66,5463,5466
-0.27,-6.32,-7.77,0.34,0.10,-0.04,31.09,17.55,37.24,936.54,5504,5507
-0.43,-6.04,-7.53,0.28,0.04,-0.03,31.09,17.55,37.24,936.57,5545,5548
