0.24,0.24,-10.36,-4.20,3.98,2.13,-9.64,-47.27,20.20,970.86,37,40
0.00,0.08,-10.08,-0.96,0.44,-0.06,-9.18,-47.00,19.90,970.93,78,81
0.24,0.63,-9.73,-0.21,0.17,-0.04,-9.18,-47.00,19.90,970.86,119,122
0.20,0.63,-10.63,-0.19,0.25,-0.11,-9.27,-46.73,19.59,970.96,160,163
0.31,0.39,-9.45,-0.21,0.27,-0.09,-9.27,-46.73,19.59,970.90,202,205
0.51,0.98,-9.45,-0.09,0.24,-0.08,-9.00,-46.82,18.47,970.92,243,246
0.47,0.35,-9.77,-0.11,0.39,0.05,-9.09,-46.82,17.86,970.94,284,287
0.39,0.24,-9.10,0.14,0.55,-0.07,-9.09,-46.82,17.86,970.87,325,328
0.43,0.67,-10.40,0.53,0.58,-0.62,-9.36,-46.27,18.06,970.92,366,369
1.26,-3.22,-7.49,0.12,0.63,-0.25,-9.36,-45.73,18.06,970.99,407,410
3.41,1.18,-8.63,0.17,0.91,0.00,-9.36,-45.73,18.06,970.96,448,451
1.73,0.43,-9.41,0.36,0.65,-0.34,-9.82,-45.45,17.96,970.78,489,492
1.96,-0.16,-9.10,0.05,0.85,-0.27,-9.82,-45.45,17.96,970.96,529,533
2.00,0.59,-10.40,0.23,0.47,-0.49,-10.27,-45.55,17.35,970.87,570,574
3.41,-0.71,-9.22,-0.17,0.37,-0.15,-10.00,-46.00,17.35,970.91,611,616
2.39,-0.16,-9.53,-0.21,0.26,-0.27,-10.00,-46.00,17.35,970.93,653,656
1.92,0.43,-9.30,-0.19,0.35,-0.52,-9.55,-46.45,16.33,970.94,694,697
2.47,0.94,-9.65,0.03,0.74,-0.27,-9.55,-46.45,16.33,970.94,735,738
3.53,0.31,-9.26,0.06,0.87,-0.03,-9.64,-46.91,15.92,970.85,776,779
2.67,1.57,-10.90,0.03,0.45,-0.03,-10.36,-46.91,15.41,970.92,817,820
2.86,1.73,-10.59,0.14,0.43,0.21,-10.36,-46.91,15.41,970.83,858,861
2.35,1.33,-10.20,0.47,0.88,0.12,-11.18,-46.27,15.61,970.84,899,902
